"place","fabricType","item","catalogueRef","date","weave","warp","warpTwist","warpFleeceType","weft","weftTwist","weftFleeceType","observableColour","dyeStuff__001","dyeStuff__002","note","source__author__001","source__author__002","source__author__003","source__author__004","source__author__005","source__year","source__title"
"York","Wool","Textile Fragment","1257","850-900","Tabby","4","Z","Hairy","3","S","Hairy","Mid Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1258","850-900","Tabby","6","Z","Hairy","5","S","Generalised Medium","Dark Brown","indigotin","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1259","850-900","Tabby","12","Z","Hairy","8","S","Hairy Medium","Black","indigotin","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1260","850-900","Tabby","12","Z","Medium","6","S","Undetermined","Dark Brown","madder","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1261","850-900","Tabby","15","Z","","9","S","","Fawn","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1262","850-900","Tabby","18","Z","Medium","11","S","Medium","Dark Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1263","850-900","2/2 twill","11","Z","Medium","11","S","Medium","Mid Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1264","850-900","2/2 chevron twill","18","Z","Hairy Medium","11","S","Hairy","Mottled Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1265","850-900","2/2 twill","12","Z","Medium","10","S","Medium","","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1266","850-900","2/2 twill","14","Z","","12","S","","Mid Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1267","850-900","2/2 chevron twill","14","Z","Hairy","10","S","Hairy","Mid Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Wool","Textile Fragment","1268","850-900","2/2 diamond twill","12","Z","","10","S","","Mid Brown","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1272","850-900","Tabby","8","Z","","8","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1272","850-900","Tabby","8","Z","","8","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1273","850-900","2/2 twill","9","Z","","7","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
"York","Veg","Textile Fragment","1279","900-935","2/2 chevron twill","13","Z","","13","Z","","Carbonised","none","","","Walton-Rogers,P","","","","","1989","Textiles,Cordage and Raw Fibre from 16-22 Coppergate"
